,SID,test_type/trial,target_value,user_input,time,start_time
0,102,Night Training/1,21234,2,1690860243188,1690860239719
1,102,Night Training/1,21234,1,1690860243590,1690860239719
2,102,Night Training/1,21234,2,1690860244232,1690860239719
3,102,Night Training/1,21234,3,1690860244720,1690860239719
4,102,Night Training/1,21234,4,1690860245216,1690860239719
5,102,Night Training/1,21234,2,1690860247315,1690860239719
6,102,Night Training/1,21234,1,1690860248049,1690860239719
7,102,Night Training/1,21234,2,1690860248690,1690860239719
8,102,Night Training/1,21234,3,1690860249149,1690860239719
9,102,Night Training/1,21234,4,1690860249639,1690860239719
10,102,Night Training/1,21234,2,1690860250656,1690860239719
11,102,Night Training/1,21234,1,1690860251264,1690860239719
12,102,Night Training/1,21234,2,1690860252314,1690860239719
13,102,Night Training/1,21234,3,1690860252822,1690860239719
14,102,Night Training/1,21234,4,1690860253248,1690860239719
15,102,Night Training/1,21234,2,1690860253930,1690860239719
16,102,Night Training/1,21234,1,1690860254366,1690860239719
17,102,Night Training/1,21234,2,1690860255063,1690860239719
18,102,Night Training/1,21234,3,1690860255497,1690860239719
19,102,Night Training/1,21234,4,1690860255962,1690860239719
20,102,Night Training/1,21234,2,1690860256672,1690860239719
21,102,Night Training/1,21234,1,1690860257113,1690860239719
22,102,Night Training/1,21234,2,1690860257656,1690860239719
23,102,Night Training/1,21234,3,1690860258647,1690860239719
24,102,Night Training/1,21234,4,1690860258997,1690860239719
25,102,Night Training/1,21234,2,1690860259622,1690860239719
26,102,Night Training/1,21234,1,1690860260145,1690860239719
27,102,Night Training/1,21234,2,1690860260614,1690860239719
28,102,Night Training/1,21234,3,1690860261071,1690860239719
29,102,Night Training/1,21234,4,1690860261506,1690860239719
30,102,Night Training/1,21234,2,1690860262454,1690860239719
31,102,Night Training/1,21234,1,1690860263404,1690860239719
32,102,Night Training/1,21234,2,1690860265531,1690860239719
33,102,Night Training/1,21234,3,1690860266097,1690860239719
34,102,Night Training/1,21234,4,1690860266897,1690860239719
35,102,Night Training/1,21234,2,1690860268172,1690860239719
36,102,Night Training/1,21234,1,1690860268747,1690860239719
37,102,Night Training/1,21234,2,1690860269289,1690860239719
38,102,Night Training/1,21234,3,1690860269680,1690860239719
39,102,Night Training/2,21234,2,1690860301587,1690860299225
40,102,Night Training/2,21234,1,1690860302003,1690860299225
41,102,Night Training/2,21234,2,1690860302411,1690860299225
42,102,Night Training/2,21234,3,1690860302829,1690860299225
43,102,Night Training/2,21234,4,1690860303154,1690860299225
44,102,Night Training/2,21234,2,1690860304535,1690860299225
45,102,Night Training/2,21234,1,1690860304929,1690860299225
46,102,Night Training/2,21234,2,1690860305321,1690860299225
47,102,Night Training/2,21234,3,1690860305670,1690860299225
48,102,Night Training/2,21234,4,1690860306061,1690860299225
49,102,Night Training/2,21234,2,1690860306612,1690860299225
50,102,Night Training/2,21234,1,1690860307311,1690860299225
51,102,Night Training/2,21234,2,1690860308378,1690860299225
52,102,Night Training/2,21234,3,1690860308729,1690860299225
53,102,Night Training/2,21234,4,1690860309077,1690860299225
54,102,Night Training/2,21234,2,1690860309903,1690860299225
55,102,Night Training/2,21234,1,1690860310336,1690860299225
56,102,Night Training/2,21234,2,1690860310761,1690860299225
57,102,Night Training/2,21234,3,1690860311203,1690860299225
58,102,Night Training/2,21234,4,1690860311670,1690860299225
59,102,Night Training/2,21234,2,1690860313113,1690860299225
60,102,Night Training/2,21234,1,1690860313870,1690860299225
61,102,Night Training/2,21234,2,1690860314519,1690860299225
62,102,Night Training/2,21234,3,1690860315145,1690860299225
63,102,Night Training/2,21234,4,1690860315576,1690860299225
64,102,Night Training/2,21234,2,1690860316218,1690860299225
65,102,Night Training/2,21234,1,1690860316652,1690860299225
66,102,Night Training/2,21234,2,1690860316995,1690860299225
67,102,Night Training/2,21234,4,1690860318212,1690860299225
68,102,Night Training/2,21234,2,1690860319027,1690860299225
69,102,Night Training/2,21234,1,1690860319411,1690860299225
70,102,Night Training/2,21234,2,1690860319778,1690860299225
71,102,Night Training/2,21234,3,1690860320152,1690860299225
72,102,Night Training/2,21234,4,1690860320560,1690860299225
73,102,Night Training/2,21234,2,1690860321086,1690860299225
74,102,Night Training/2,21234,1,1690860321512,1690860299225
75,102,Night Training/2,21234,3,1690860323010,1690860299225
76,102,Night Training/2,21234,4,1690860323361,1690860299225
77,102,Night Training/2,21234,2,1690860323894,1690860299225
78,102,Night Training/2,21234,1,1690860324329,1690860299225
79,102,Night Training/2,21234,2,1690860325170,1690860299225
80,102,Night Training/2,21234,3,1690860325652,1690860299225
81,102,Night Training/2,21234,4,1690860326062,1690860299225
82,102,Night Training/2,21234,2,1690860326578,1690860299225
83,102,Night Training/2,21234,1,1690860326945,1690860299225
84,102,Night Training/2,21234,2,1690860327444,1690860299225
85,102,Night Training/2,21234,3,1690860327985,1690860299225
86,102,Night Training/2,21234,4,1690860328353,1690860299225
87,102,Night Training/2,21234,2,1690860328919,1690860299225
88,102,Night Training/3,21234,1,1690860362167,1690860358756
89,102,Night Training/3,21234,2,1690860362793,1690860358756
90,102,Night Training/3,21234,3,1690860363184,1690860358756
91,102,Night Training/3,21234,4,1690860363532,1690860358756
92,102,Night Training/3,21234,2,1690860363757,1690860358756
93,102,Night Training/3,21234,1,1690860364433,1690860358756
94,102,Night Training/3,21234,2,1690860364909,1690860358756
95,102,Night Training/3,21234,3,1690860365266,1690860358756
96,102,Night Training/3,21234,4,1690860365584,1690860358756
97,102,Night Training/3,21234,2,1690860366166,1690860358756
98,102,Night Training/3,21234,1,1690860366533,1690860358756
99,102,Night Training/3,21234,2,1690860366941,1690860358756
100,102,Night Training/3,21234,3,1690860367266,1690860358756
101,102,Night Training/3,21234,4,1690860367693,1690860358756
102,102,Night Training/3,21234,2,1690860368200,1690860358756
103,102,Night Training/3,21234,1,1690860368560,1690860358756
104,102,Night Training/3,21234,2,1690860368976,1690860358756
105,102,Night Training/3,21234,3,1690860369443,1690860358756
106,102,Night Training/3,21234,4,1690860369801,1690860358756
107,102,Night Training/3,21234,2,1690860370977,1690860358756
108,102,Night Training/3,21234,1,1690860371383,1690860358756
109,102,Night Training/3,21234,2,1690860371716,1690860358756
110,102,Night Training/3,21234,3,1690860372075,1690860358756
111,102,Night Training/3,21234,4,1690860372441,1690860358756
112,102,Night Training/3,21234,2,1690860373108,1690860358756
113,102,Night Training/3,21234,1,1690860373434,1690860358756
114,102,Night Training/3,21234,2,1690860373776,1690860358756
115,102,Night Training/3,21234,3,1690860374149,1690860358756
116,102,Night Training/3,21234,4,1690860374526,1690860358756
117,102,Night Training/3,21234,2,1690860375258,1690860358756
118,102,Night Training/3,21234,1,1690860375609,1690860358756
119,102,Night Training/3,21234,2,1690860375907,1690860358756
120,102,Night Training/3,21234,3,1690860376268,1690860358756
121,102,Night Training/3,21234,4,1690860376565,1690860358756
122,102,Night Training/3,21234,2,1690860377565,1690860358756
123,102,Night Training/3,21234,1,1690860378001,1690860358756
124,102,Night Training/3,21234,2,1690860378284,1690860358756
125,102,Night Training/3,21234,3,1690860378623,1690860358756
126,102,Night Training/3,21234,4,1690860379033,1690860358756
127,102,Night Training/3,21234,2,1690860379733,1690860358756
128,102,Night Training/3,21234,1,1690860380093,1690860358756
129,102,Night Training/3,21234,2,1690860380382,1690860358756
130,102,Night Training/3,21234,3,1690860380699,1690860358756
131,102,Night Training/3,21234,4,1690860381065,1690860358756
132,102,Night Training/3,21234,2,1690860381824,1690860358756
133,102,Night Training/3,21234,1,1690860382150,1690860358756
134,102,Night Training/3,21234,2,1690860382492,1690860358756
135,102,Night Training/3,21234,3,1690860382857,1690860358756
136,102,Night Training/3,21234,4,1690860383267,1690860358756
137,102,Night Training/3,21234,2,1690860384041,1690860358756
138,102,Night Training/3,21234,1,1690860384433,1690860358756
139,102,Night Training/3,21234,2,1690860384791,1690860358756
140,102,Night Training/3,21234,3,1690860385142,1690860358756
141,102,Night Training/3,21234,2,1690860386266,1690860358756
142,102,Night Training/3,21234,1,1690860386617,1690860358756
143,102,Night Training/3,21234,2,1690860386957,1690860358756
144,102,Night Training/3,21234,3,1690860387466,1690860358756
145,102,Night Training/4,21234,2,1690860421006,1690860418286
146,102,Night Training/4,21234,1,1690860421348,1690860418286
147,102,Night Training/4,21234,2,1690860421681,1690860418286
148,102,Night Training/4,21234,3,1690860422048,1690860418286
149,102,Night Training/4,21234,3,1690860422973,1690860418286
150,102,Night Training/4,21234,1,1690860423341,1690860418286
151,102,Night Training/4,21234,2,1690860423739,1690860418286
152,102,Night Training/4,21234,3,1690860424089,1690860418286
153,102,Night Training/4,21234,4,1690860424447,1690860418286
154,102,Night Training/4,21234,2,1690860424962,1690860418286
155,102,Night Training/4,21234,2,1690860425602,1690860418286
156,102,Night Training/4,21234,2,1690860427046,1690860418286
157,102,Night Training/4,21234,1,1690860427439,1690860418286
158,102,Night Training/4,21234,2,1690860427772,1690860418286
159,102,Night Training/4,21234,3,1690860428091,1690860418286
160,102,Night Training/4,21234,4,1690860428423,1690860418286
161,102,Night Training/4,21234,2,1690860428972,1690860418286
162,102,Night Training/4,21234,1,1690860429297,1690860418286
163,102,Night Training/4,21234,2,1690860429639,1690860418286
164,102,Night Training/4,21234,3,1690860429989,1690860418286
165,102,Night Training/4,21234,4,1690860430331,1690860418286
166,102,Night Training/4,21234,2,1690860430957,1690860418286
167,102,Night Training/4,21234,1,1690860431273,1690860418286
168,102,Night Training/4,21234,2,1690860431565,1690860418286
169,102,Night Training/4,21234,3,1690860431930,1690860418286
170,102,Night Training/4,21234,4,1690860432316,1690860418286
171,102,Night Training/4,21234,2,1690860432856,1690860418286
172,102,Night Training/4,21234,2,1690860433464,1690860418286
173,102,Night Training/4,21234,3,1690860433855,1690860418286
174,102,Night Training/4,21234,4,1690860434180,1690860418286
175,102,Night Training/4,21234,2,1690860434690,1690860418286
176,102,Night Training/4,21234,1,1690860435038,1690860418286
177,102,Night Training/4,21234,2,1690860435295,1690860418286
178,102,Night Training/4,21234,3,1690860435613,1690860418286
179,102,Night Training/4,21234,4,1690860435972,1690860418286
180,102,Night Training/4,21234,2,1690860437130,1690860418286
181,102,Night Training/4,21234,1,1690860437490,1690860418286
182,102,Night Training/4,21234,2,1690860437772,1690860418286
183,102,Night Training/4,21234,3,1690860438104,1690860418286
184,102,Night Training/4,21234,4,1690860438429,1690860418286
185,102,Night Training/4,21234,2,1690860439022,1690860418286
186,102,Night Training/4,21234,1,1690860439371,1690860418286
187,102,Night Training/4,21234,2,1690860439687,1690860418286
188,102,Night Training/4,21234,3,1690860440421,1690860418286
189,102,Night Training/4,21234,4,1690860440856,1690860418286
190,102,Night Training/4,21234,2,1690860441546,1690860418286
191,102,Night Training/4,21234,1,1690860441921,1690860418286
192,102,Night Training/4,21234,2,1690860442238,1690860418286
193,102,Night Training/4,21234,3,1690860442572,1690860418286
194,102,Night Training/4,21234,4,1690860442938,1690860418286
195,102,Night Training/4,21234,2,1690860443463,1690860418286
196,102,Night Training/4,21234,1,1690860443780,1690860418286
197,102,Night Training/4,21234,2,1690860444112,1690860418286
198,102,Night Training/4,21234,3,1690860444546,1690860418286
199,102,Night Training/4,21234,4,1690860444889,1690860418286
200,102,Night Training/4,21234,2,1690860445455,1690860418286
201,102,Night Training/4,21234,1,1690860445898,1690860418286
202,102,Night Training/4,21234,2,1690860446288,1690860418286
203,102,Night Training/4,21234,3,1690860446670,1690860418286
